epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.477,1.67016,1.54389,1.41625,0.56196,0.41953,0.43488,0.19185,1.83394,1.46522,1.52563,0.0671856,0.000398556,0.000398556
2,340.168,1.61678,1.38423,1.40925,0.58368,0.4182,0.42707,0.16906,2.05646,1.52561,1.62859,0.034252,0.000798361,0.000798361
3,433.538,1.61495,1.36953,1.415,0.64216,0.46329,0.49542,0.22284,1.85816,1.54648,1.532,0.00131772,0.00119739,0.00119739
4,527.363,1.58493,1.33919,1.40157,0.59121,0.41691,0.45724,0.20189,1.97614,1.6737,1.68486,0.00119736,0.00119736,0.00119736
5,619.832,1.54373,1.29274,1.37501,0.68192,0.48589,0.54734,0.27363,1.66964,1.2866,1.44483,0.00119532,0.00119532,0.00119532
6,712.205,1.50796,1.2603,1.36182,0.71313,0.49128,0.56944,0.28524,1.70251,1.2353,1.42793,0.00119269,0.00119269,0.00119269
7,804.473,1.48719,1.23404,1.34539,0.71335,0.5272,0.59576,0.30606,1.58721,1.17667,1.36345,0.00118948,0.00118948,0.00118948
8,896.821,1.45775,1.20417,1.32811,0.72162,0.52129,0.58707,0.3022,1.6166,1.17155,1.37029,0.00118569,0.00118569,0.00118569
9,989.434,1.45394,1.19594,1.32392,0.71631,0.5474,0.6063,0.31461,1.57338,1.13874,1.3581,0.00118134,0.00118134,0.00118134
10,1082.04,1.43001,1.17241,1.31185,0.75316,0.54081,0.61944,0.32247,1.56589,1.10337,1.35718,0.00117641,0.00117641,0.00117641
11,1174.55,1.41732,1.15612,1.30366,0.7274,0.5487,0.61141,0.32105,1.53009,1.26212,1.33002,0.00117093,0.00117093,0.00117093
12,1267.58,1.41377,1.15037,1.30219,0.74304,0.57336,0.64077,0.3307,1.55331,1.1216,1.33401,0.00116488,0.00116488,0.00116488
13,1360.37,1.39727,1.13131,1.29195,0.75725,0.55826,0.63739,0.34878,1.48389,1.02458,1.31092,0.00115829,0.00115829,0.00115829
14,1452.67,1.37837,1.11998,1.27975,0.75646,0.57284,0.64934,0.35275,1.48658,1.05552,1.3149,0.00115115,0.00115115,0.00115115
15,1544.94,1.37887,1.10939,1.27667,0.75299,0.58152,0.65151,0.34666,1.55729,1.02243,1.34513,0.00114347,0.00114347,0.00114347
16,1637.14,1.36729,1.09814,1.27125,0.7561,0.58627,0.65718,0.35573,1.47885,1.01851,1.29817,0.00113526,0.00113526,0.00113526
17,1729.14,1.3533,1.09011,1.26579,0.75935,0.59071,0.66174,0.35878,1.47931,0.99227,1.27926,0.00112653,0.00112653,0.00112653
18,1821.22,1.34622,1.08252,1.26187,0.77262,0.56876,0.65212,0.35922,1.47392,0.98654,1.282,0.00111728,0.00111728,0.00111728
19,1914,1.34912,1.07616,1.25772,0.76954,0.58415,0.65971,0.366,1.44572,0.96889,1.27867,0.00110753,0.00110753,0.00110753
20,2006.4,1.33913,1.07004,1.25632,0.77694,0.59006,0.67336,0.3782,1.42297,0.96375,1.26857,0.00109729,0.00109729,0.00109729
21,2099.01,1.32634,1.05537,1.24711,0.76878,0.60338,0.67378,0.37395,1.42079,0.96866,1.24934,0.00108656,0.00108656,0.00108656
22,2191.89,1.32329,1.05763,1.24606,0.77683,0.59822,0.6794,0.38521,1.3818,0.93669,1.23766,0.00107535,0.00107535,0.00107535
23,2284.74,1.31397,1.04712,1.2421,0.77617,0.61057,0.68645,0.38516,1.42881,0.96149,1.26046,0.00106368,0.00106368,0.00106368
24,2376.38,1.3094,1.04003,1.23822,0.77557,0.60675,0.68808,0.38897,1.40395,0.93654,1.24374,0.00105157,0.00105157,0.00105157
25,2468.62,1.29983,1.03085,1.23137,0.78146,0.61426,0.6931,0.39309,1.40861,0.91793,1.25219,0.00103901,0.00103901,0.00103901
26,2560.65,1.29052,1.01812,1.22505,0.79072,0.60324,0.69213,0.39708,1.38357,0.90216,1.23379,0.00102602,0.00102602,0.00102602
27,2652.56,1.29072,1.01726,1.22552,0.80177,0.61173,0.6976,0.39836,1.38582,0.90946,1.23267,0.00101262,0.00101262,0.00101262
28,2745.18,1.28636,1.01522,1.22508,0.78608,0.61876,0.70213,0.40283,1.37966,0.88057,1.22949,0.000998819,0.000998819,0.000998819
29,2837.91,1.28348,1.00843,1.21771,0.79284,0.61773,0.70123,0.4048,1.37007,0.88759,1.21906,0.00098463,0.00098463,0.00098463
30,2930.28,1.27916,1.0124,1.21836,0.79575,0.61913,0.69857,0.40529,1.36838,0.88103,1.22519,0.000970067,0.000970067,0.000970067
31,3022.67,1.27068,0.99655,1.21506,0.7954,0.62805,0.71031,0.40901,1.38121,0.86974,1.22747,0.000955144,0.000955144,0.000955144
32,3114.81,1.26484,0.99104,1.21084,0.79511,0.62861,0.70633,0.41064,1.34978,0.86173,1.21049,0.000939878,0.000939878,0.000939878
33,3206.82,1.25587,0.98638,1.20742,0.79641,0.62889,0.70876,0.41619,1.33866,0.86105,1.20382,0.000924281,0.000924281,0.000924281
34,3299.07,1.26053,0.98533,1.20886,0.80153,0.62795,0.71217,0.41797,1.33288,0.86039,1.19774,0.000908371,0.000908371,0.000908371
35,3390.96,1.24172,0.97148,1.19771,0.79295,0.6395,0.71536,0.41996,1.33615,0.85859,1.20055,0.000892162,0.000892162,0.000892162
36,3483.14,1.23916,0.96384,1.19407,0.79788,0.62918,0.71247,0.41995,1.33844,0.85108,1.19777,0.00087567,0.00087567,0.00087567
37,3575.35,1.23418,0.9613,1.19213,0.80957,0.63171,0.71662,0.42301,1.33566,0.84719,1.19723,0.000858913,0.000858913,0.000858913
38,3667.54,1.23263,0.96216,1.19388,0.80658,0.62866,0.71227,0.4218,1.33941,0.84637,1.19986,0.000841906,0.000841906,0.000841906
39,3759.83,1.22882,0.9554,1.19042,0.80627,0.6348,0.71659,0.42705,1.32343,0.84143,1.19342,0.000824666,0.000824666,0.000824666
40,3852.04,1.23487,0.95868,1.19317,0.81213,0.63208,0.71955,0.42677,1.32254,0.83736,1.18924,0.00080721,0.00080721,0.00080721
41,3944.01,1.22173,0.95143,1.18749,0.80313,0.63834,0.72078,0.42929,1.32053,0.83163,1.1878,0.000789556,0.000789556,0.000789556
42,4036.51,1.23134,0.94657,1.18626,0.80443,0.64363,0.72284,0.43036,1.31699,0.82975,1.18469,0.000771721,0.000771721,0.000771721
43,4128.94,1.21513,0.93753,1.18026,0.8132,0.63902,0.7234,0.43081,1.31277,0.82826,1.18142,0.000753722,0.000753722,0.000753722
44,4221.78,1.21648,0.93724,1.17824,0.80917,0.64193,0.72454,0.43277,1.30687,0.82452,1.1783,0.000735577,0.000735577,0.000735577
45,4314.29,1.20623,0.9297,1.17724,0.81227,0.6417,0.72671,0.43602,1.3047,0.81844,1.18073,0.000717305,0.000717305,0.000717305
46,4406.75,1.20943,0.93196,1.17637,0.81286,0.64146,0.72798,0.43846,1.2991,0.81764,1.17776,0.000698922,0.000698922,0.000698922
47,4498.82,1.1968,0.92286,1.17224,0.81523,0.64446,0.7308,0.43916,1.29998,0.81864,1.17933,0.000680448,0.000680448,0.000680448
48,4590.7,1.20068,0.92104,1.17381,0.8162,0.64343,0.73084,0.4394,1.30007,0.81455,1.17927,0.0006619,0.0006619,0.0006619
